No,Tag,Spp,Treat,Fgrp,ShootBio,RootBio,TotalBio,RS_Ratio
578,6B28,Dala,Con,leg,2.92,12.8,15.72,4.383561644
580,6B30,Dala,NP+,leg,7.79,24.55,32.34,3.151476252
581,6B31,Lain,NP+,nleg,11.61,19.3,30.91,1.662360034
585,6B35,Alle,Con,leg,1.56,2.34,3.9,1.5
587,6B37,Ziju,N+,nleg,22.22,10.44,32.66,0.469846985
590,6B40,Lain,Con,nleg,10.04,20.75,30.79,2.066733068
591,6B41,Alle,Con,leg,22.16,54.29,76.45,2.449909747
592,6B42,Ziju,Con,nleg,17.97,18.82,36.79,1.047301057
594,6B44,Tebe,NP+,nleg,13.62,34.37,47.99,2.52349486
596,6B46,Alam,P+,leg,3.01,8.7,11.71,2.890365449
597,6B47,Tear,N+,nleg,15.1,25.06,40.16,1.659602649
600,6B50,Saem,P+,nleg,5.57,7.17,12.74,1.287253142
601,7A1,Lain,N+,nleg,23.56,17.93,41.49,0.761035654
605,7A5,Tear,Con,nleg,17.2,28.54,45.74,1.659302326
606,7A6,Acca,Con,leg,3.31,13.04,16.35,3.939577039
607,7A7,Lasp,N+,nleg,17.15,25.29,42.44,1.474635569
609,7A9,Alam,NP+,leg,32.74,32.93,65.67,1.005803299
612,7A12,Lasp,P+,nleg,11.62,18.6,30.22,1.600688468
613,7A13,Lain,Con,nleg,5.23,10.48,15.71,2.003824092
614,7A14,Alam,N+,leg,14.03,29.04,43.07,2.069850321
615,7A15,Phem,P+,nleg,10.37,16.17,26.54,1.559305689
616,7A16,Ziju,NP+,nleg,35.55,25.15,60.7,0.70745429
618,7A18,Lain,P+,nleg,8.84,6.19,15.03,0.700226244
619,7A19,Saem,P+,nleg,7.82,6.44,14.26,0.823529412
620,7A20,Ziju,P+,nleg,5.58,2.78,8.36,0.498207885
621,7A21,Alle,P+,leg,0.13,0.15,0.28,1.153846154
622,7A22,Phem,NP+,nleg,13.49,18.66,32.15,1.38324685
623,7A23,Dala,N+,leg,1.7,7.9,9.6,4.647058824
625,7A25,Tebe,Con,nleg,18.47,37.37,55.84,2.023280996
626,7A26,Acca,N+,leg,10.38,36.52,46.9,3.518304432
627,7A27,Tebe,N+,nleg,24.35,37.31,61.66,1.532238193
629,7A29,Lain,NP+,nleg,13.36,18.82,32.18,1.408682635
631,7A31,Tear,NP+,nleg,30.27,37.32,67.59,1.232903865
632,7A32,Phem,Con,nleg,14.97,17.44,32.41,1.16499666
633,7A33,Phem,N+,nleg,27.52,24.17,51.69,0.878270349
634,7A34,Lain,NP+,nleg,10.75,9.43,20.18,0.877209302
636,7A36,Acle,N+,leg,7.89,8.12,16.01,1.029150824
639,7A39,Dala,P+,leg,7.64,23.96,31.6,3.136125654
640,7A40,Acle,Con,leg,2.88,4.62,7.5,1.604166667
641,7A41,Phem,P+,nleg,6.22,21.59,27.81,3.471061093
642,7A42,Saem,NP+,nleg,12.75,10.34,23.09,0.810980392
644,7A44,Dala,Con,leg,8.44,21.06,29.5,2.495260664
646,7A46,Tebe,P+,nleg,7.19,23.29,30.48,3.23922114
647,7A47,Lasp,P+,nleg,14.75,15.22,29.97,1.031864407
649,7A49,Acfe,P+,leg,10.61,16.71,27.32,1.574929312
650,7A50,Ziju,Con,nleg,4.93,7.16,12.09,1.452332657
652,7B2,Dala,NP+,leg,2.9,9.68,12.58,3.337931034
653,7B3,Phem,NP+,nleg,40.41,26.8,67.21,0.663202178
654,7B4,Acfe,Con,leg,4.72,6.73,11.45,1.425847458
655,7B5,Lain,Con,nleg,6.14,11.99,18.13,1.95276873
656,7B6,Saem,NP+,nleg,42.02,34.93,76.95,0.831270823
657,7B7,Tear,P+,nleg,18.03,21.68,39.71,1.202440377
658,7B8,Saem,Con,nleg,6.56,6.17,12.73,0.94054878
659,7B9,Tear,NP+,nleg,21.26,33.93,55.19,1.595954845
660,7B10,Tebe,N+,nleg,16.51,44.99,61.5,2.725015142
661,7B11,Lasp,Con,nleg,8.23,17.26,25.49,2.097205346
662,7B12,Alam,P+,leg,4.01,7.63,11.64,1.902743142
664,7B14,Tebe,Con,nleg,7.08,31.9,38.98,4.505649718
665,7B15,Saem,P+,nleg,6.32,6.12,12.44,0.96835443
667,7B17,Alle,Con,leg,13.91,31.98,45.89,2.299065421
669,7B19,Alle,N+,leg,13.67,29.63,43.3,2.167520117
670,7B20,Acca,Con,leg,5.71,29.1,34.81,5.096322242
671,7B21,Lasp,Con,nleg,9.01,16.43,25.44,1.823529412
672,7B22,Acfe,NP+,leg,24.35,43.06,67.41,1.768377823
673,7B23,Tear,N+,nleg,27.69,33.77,61.46,1.219573853
677,7B27,Lain,Con,nleg,21.64,31.79,53.43,1.469038817
678,7B28,Ziju,P+,nleg,18.54,19.38,37.92,1.045307443
679,7B29,Acca,P+,leg,4.04,21.72,25.76,5.376237624
680,7B30,Acca,N+,leg,10.51,38.32,48.83,3.64605138
682,7B32,Tebe,NP+,nleg,8.26,33.78,42.04,4.089588378
683,7B33,Alam,Con,leg,12.44,15.52,27.96,1.247588424
684,7B34,Lain,NP+,nleg,3.84,20.75,24.59,5.403645833
685,7B35,Acle,P+,leg,0.21,0.21,0.42,1
686,7B36,Tear,P+,nleg,17.45,20.98,38.43,1.202292264
687,7B37,Lain,Con,nleg,7.89,12.91,20.8,1.636248416
689,7B39,Dala,N+,leg,9.95,26.35,36.3,2.648241206
690,7B40,Ziju,NP+,nleg,12.95,11.53,24.48,0.89034749
695,7B45,Ziju,N+,nleg,14.52,14.47,28.99,0.996556474
696,7B46,Acca,NP+,leg,8.86,51.95,60.81,5.863431151
697,7B47,Phem,N+,nleg,10.02,20.16,30.18,2.011976048
698,7B48,Lain,P+,nleg,4.58,17.18,21.76,3.751091703
699,7B49,Tear,P+,nleg,11.12,19.36,30.48,1.741007194
702,8A2,Phem,P+,nleg,8.96,14.78,23.74,1.649553571
703,8A3,Acfe,N+,leg,7.37,27.01,34.38,3.664857531
704,8A4,Acle,N+,leg,14.27,20.28,34.55,1.42116328
705,8A5,Saem,NP+,nleg,9.98,16.7,26.68,1.673346693
706,8A6,Acca,Con,leg,1.15,6.59,7.74,5.730434783
707,8A7,Lasp,N+,nleg,17.93,29.5,47.43,1.645287228
708,8A8,Ziju,NP+,nleg,18.22,21.49,39.71,1.179473106
709,8A9,Tear,NP+,nleg,50.53,42.11,92.64,0.833366317
710,8A10,Acle,NP+,leg,0.66,1.28,1.94,1.939393939
712,8A12,Lain,Con,nleg,5.55,16.89,22.44,3.043243243
716,8A16,Ziju,NP+,nleg,10.9,9.5,20.4,0.871559633
718,8A18,Lain,P+,nleg,4.48,9.28,13.76,2.071428571
719,8A19,Saem,P+,nleg,10.13,18.21,28.34,1.7976308
721,8A21,Alle,P+,leg,7.53,27.26,34.79,3.620185923
722,8A22,Phem,NP+,nleg,30.71,41.74,72.45,1.359166395
