unit,site,block,name,plot,seed.total,seed.nassella,seed.bromus,seed.elymus,ntrt,dist,year,taxa,mass
23,HASTINGS ,A ,ROBERTSON HOUSE ,23,0,0,0,0,+C ,0,2006,ERODIUM BOTRYS,12.01
23,HASTINGS ,A ,ROBERTSON HOUSE ,23,0,0,0,0,+C ,0,2005,LUPINUS BICOLOR,3.99
23,HASTINGS ,A ,ROBERTSON HOUSE ,23,0,0,0,0,+C ,0,2004,RUMEX SPECIES,1.1874
23,HASTINGS ,A ,ROBERTSON HOUSE ,23,0,0,0,0,+C ,0,2005,BROMUS HORDEACEUS,1.6612
23,HASTINGS ,A ,ROBERTSON HOUSE ,23,0,0,0,0,+C ,0,2004,LUPINUS BICOLOR,0.0231
23,HASTINGS ,A ,ROBERTSON HOUSE ,23,0,0,0,0,+C ,0,2006,TORILIS NODOSA,0.134
23,HASTINGS ,A ,ROBERTSON HOUSE ,23,0,0,0,0,+C ,0,2005,CLARKIA PURPUREA,2.2217
23,HASTINGS ,A ,ROBERTSON HOUSE ,23,0,0,0,0,+C ,0,2006,FILAGO GALLICA,0.0138
23,HASTINGS ,A ,ROBERTSON HOUSE ,23,0,0,0,0,+C ,0,2007,UNSORTED BIOMASS,108.599998
23,HASTINGS ,A ,ROBERTSON HOUSE ,23,0,0,0,0,+C ,0,2005,TRIFOLIUM GRACILENTUM,0.453
23,HASTINGS ,A ,ROBERTSON HOUSE ,23,0,0,0,0,+C ,0,2005,HYPOCHAERIS GLABRA,1.88
23,HASTINGS ,A ,ROBERTSON HOUSE ,23,0,0,0,0,+C ,0,2004,ERODIUM BOTRYS,10.17
23,HASTINGS ,A ,ROBERTSON HOUSE ,23,0,0,0,0,+C ,0,2005,CERASTIUM GLOMERATUM,0.1913
23,HASTINGS ,A ,ROBERTSON HOUSE ,23,0,0,0,0,+C ,0,2005,BROMUS DIANDRUS,2.7
23,HASTINGS ,A ,ROBERTSON HOUSE ,23,0,0,0,0,+C ,0,2006,HYPOCHAERIS GLABRA,4.93
23,HASTINGS ,A ,ROBERTSON HOUSE ,23,0,0,0,0,+C ,0,2006,EREMOCARPUS SETIGERUS,0.0356
23,HASTINGS ,A ,ROBERTSON HOUSE ,23,0,0,0,0,+C ,0,2006,LITTER,29.709999
23,HASTINGS ,A ,ROBERTSON HOUSE ,23,0,0,0,0,+C ,0,2005,SILENE GALLICA,10.21
23,HASTINGS ,A ,ROBERTSON HOUSE ,23,0,0,0,0,+C ,0,2004,BROMUS DIANDRUS,8.22
23,HASTINGS ,A ,ROBERTSON HOUSE ,23,0,0,0,0,+C ,0,2006,CLARKIA PURPUREA,3.24
