unit,site,block,name,plot,seed.total,seed.nassella,seed.bromus,seed.elymus,ntrt,ntrt,dist,year,taxa,cover
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2006,AVENA BARBATA,2
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2009,GILIA CLIVORUM,1
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2006,CLARKIA PURPUREA,15
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2006,HYPOCHAERIS GLABRA,4
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2005,AVENA BARBATA,7
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2006,CLARKIA PURPUREA,15
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2006,AVENA FATUA,3
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2010,TRIFOLIUM HIRTUM,1
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2004,AVENA BARBATA,65
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2008,EREMOCARPUS SETIGERUS,1
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2009,LUPINUS NANUS,1
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2009,CLARKIA PURPUREA,1
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2009,TRIFOLIUM HIRTUM,1
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2006,AVENA FATUA,5
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2009,HYPOCHAERIS GLABRA,2
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2005,FILAGO GALLICA,2
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2007,AVENA FATUA,7
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2007,TRIFOLIUM HIRTUM,10
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2006,TRIFOLIUM HIRTUM,5
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2006,TRIFOLIUM HIRTUM,2
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2006,ERODIUM BOTRYS,40
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2005,FILAGO GALLICA,1
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2008,ERODIUM BOTRYS,35
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2004,AVENA BARBATA,85
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2006,SILENE GALLICA,1
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2005,TRIFOLIUM HIRTUM,15
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2006,CERASTIUM GLOMERATUM,1
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2006,GALIUM APARINE,1
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2008,HYPOCHAERIS GLABRA,1
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2005,AVENA FATUA,25
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2004,BROMUS DIANDRUS,25
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2005,HYPOCHAERIS GLABRA,2
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2006,ERODIUM BOTRYS,25
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2006,AVENA FATUA,5
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2006,EREMOCARPUS SETIGERUS,2
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2005,GALIUM APARINE,2
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2006,ERODIUM BOTRYS,30
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2010,AVENA FATUA,1
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2007,BROMUS HORDEACEUS,1
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2006,APIACEAE SPECIES,2
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2005,LOTUS STRIGOSUS,3
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2006,CLARKIA PURPUREA,25
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2010,CLARKIA PURPUREA,1
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2010,ERODIUM BOTRYS,60
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2005,LUPINUS NANUS,20
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2006,CLARKIA PURPUREA,40
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2007,ERODIUM BOTRYS,70
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2006,LOTUS PURSHIANUS,1
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2010,HYPOCHAERIS GLABRA,1
4,HASTINGS ,A ,ROBERTSON HOUSE ,4,0,0,0,0,#NAME?,nutrient,0,2005,AVENA FATUA,20
